Order,Family,Genus,Taxa
Annelida,Oligochaeta,NA,Oligochaeta
Arachnida,Acari,NA,Acari
Coleoptera,Hydrophilidae,,Sphaeridiinae
Coleoptera,Staphylinidae,NA,Staphylinidae
Collembola,Collembola,NA,Collembola
Crustacea,Ostracoda,NA,Ostracoda
Diptera,Blephariceridae,Agathon,Agathon
Diptera,Ceratopogonidae,Probezzia,Probezzia
Diptera,Chironomidae,NA,Non-Tanypodinae
Diptera,Chironomidae,NA,Chironomidae Pupae
Diptera,Tanypodinae,NA,Tanypodinae
Diptera,Empididae,Clinocera,Clinocera
Diptera,Simuliidae,Helodon,Helodon
Diptera,Simuliidae,Prosimulium,Prosimulium
Diptera,Simuliidae,NA,Simuliidae Pupae
Diptera,Tipulidae,Dicranota,Dicranota
Diptera,Tipulidae,Gonomyodes,Gonomyodes
Diptera,Tipulidae,Limonia,Limonia
Diptera,Tipulidae,Tipula,Tipula
Diptera,Tipulidae,Tipula,Tipula (Arctotipula)
Ephemeroptera,Baetidae,Baetis,Baetis
Ephemeroptera,Baetidae,Heterocloeon,Heterocloeon
Ephemeroptera,Ephemerellidae,Drunella,Drunella
Ephemeroptera,Heptageniidae,Cinygmula,Cinygmula
Ephemeroptera,Heptageniidae,Epeorus,Epeorus
Ephemeroptera,Heptageniidae,Rhithrogena,Rhithrogena
Plecoptera,Chloroperlidae,Suwallia,Suwallia
Plecoptera,Chloroperlidae,Sweltsa,Sweltsa
Plecoptera,Nemouridae,Lednia,Lednia
Plecoptera,Nemouridae,Zapada,Zapada
Plecoptera,Leuctridae,Pomoleuctra,Pomoleuctra
Plecoptera,Perlodidae,Megarcys,Megarcys
Plecoptera,Perlodidae,2Megarcys,2Megarcys
Trichoptera,Apataniidae,Allomyia,Allomyia
Trichoptera,Limnephilinae,Homophylax,Homophylax
Trichoptera,Rhyacophilidae,Rhyacophila ,Rhyacophila 
Turbellaria,Turbellaria,Turbellaria,Turbellaria
